SYMBOL,Time,OMDSEQ,ASK_SIZE,ASK_PRICE,BID_SIZE,BID_PRICE
AA,2015-01-03 09:35:30.394094,2,8,23.91,8,23.79
AA,2015-01-03 09:35:30.423016,0,1,25.0,1,22.74
AA,2015-01-03 09:35:30.423130,1,3,23.91,8,23.79
AA,2015-01-03 09:35:30.423154,2,3,23.91,3,23.79
AA,2015-01-03 09:35:30.424292,0,1,25.0,5,23.79
AA,2015-01-03 09:35:30.424323,1,5,23.91,5,23.79
AA,2015-01-03 09:35:30.424437,2,3,23.91,8,23.79
AA,2015-01-03 09:35:30.424461,3,8,23.91,8,23.79
AA,2015-01-03 09:35:30.514325,0,1,25.0,5,23.79
AA,2015-01-03 09:35:30.514350,1,1,25.0,1,22.74
AA,2015-01-03 09:35:30.514437,2,3,23.91,8,23.79
AA,2015-01-03 09:35:30.514458,3,3,23.91,3,23.79
AA,2015-01-03 09:35:31.647854,0,1,25.0,5,23.79
AA,2015-01-03 09:35:31.647876,1,5,23.91,5,23.79
AA,2015-01-03 09:35:31.647925,2,3,23.91,8,23.79
AA,2015-01-03 09:35:31.647967,3,8,23.91,8,23.79
AA,2015-01-03 09:35:31.648445,0,1,25.0,5,23.79
AA,2015-01-03 09:35:31.648466,1,1,25.0,1,22.74
AA,2015-01-03 09:35:31.648515,2,3,23.91,8,23.79
AA,2015-01-03 09:35:31.648535,3,3,23.91,3,23.79
AA,2015-01-03 09:35:32.297186,0,1,25.0,5,23.79
AA,2015-01-03 09:35:32.297205,1,5,23.91,5,23.79
AA,2015-01-03 09:35:32.297257,2,3,23.91,8,23.79
AA,2015-01-03 09:35:32.297282,3,8,23.91,8,23.79
AA,2015-01-03 09:35:32.297378,4,5,23.91,1,22.74
AA,2015-01-03 09:35:32.297418,5,1,25.0,1,22.74
AA,2015-01-03 09:35:32.297607,6,8,23.91,3,23.79
AA,2015-01-03 09:35:32.297626,7,3,23.91,3,23.79
AA,2015-01-03 09:35:32.341479,0,5,23.91,5,23.79
AA,2015-01-03 09:35:32.341545,1,3,23.91,8,23.79
AA,2015-01-03 09:35:32.341566,2,8,23.91,8,23.79
AA,2015-01-03 09:35:32.425798,0,1,25.0,5,23.79
AA,2015-01-03 09:35:32.425820,1,1,25.0,1,22.74
AA,2015-01-03 09:35:32.425859,2,3,23.91,8,23.79
AA,2015-01-03 09:35:32.425880,3,3,23.91,3,23.79
